Date,Open,High,Low,Close,Volume
2004-08-19,2.49097,2.59211,2.39033,2.49944,897317115
2004-08-20,2.51614,2.71715,2.50342,2.69798,458801193
2004-08-23,2.75876,2.82675,2.7164,2.72512,366812930
2004-08-24,2.77095,2.77992,2.57989,2.61228,306358569
2004-08-25,2.61452,2.69025,2.58761,2.64042,184622859
2004-08-26,2.61427,2.68901,2.60705,2.68801,142554909
2004-08-27,2.69273,2.7057,2.6327,2.64417,124810817
2004-08-30,2.62249,2.62773,2.54104,2.54104,104417155
2004-08-31,2.54826,2.58339,2.54477,2.55001,98812912
2004-09-01,2.55823,2.56495,2.48274,2.4972,183611205
2004-09-02,2.4708,2.55001,2.46457,2.52858,303773231
2004-09-03,2.51464,2.53431,2.47402,2.49121,103525936
2004-09-07,2.51614,2.54079,2.48126,2.53033,117492383
2004-09-08,2.5094,2.56645,2.50342,2.54826,100173828
2004-09-09,2.55399,2.55848,2.51589,2.54851,81610778
2004-09-10,2.53083,2.65438,2.52336,2.62373,174783318
2004-09-13,2.65612,2.70046,2.65189,2.67779,157609285
2004-09-14,2.67654,2.78988,2.66011,2.77718,217581907
2004-09-15,2.75401,2.84544,2.74504,2.78988,215253497
2004-09-16,2.79835,2.88454,2.78117,2.83896,186184499
2004-09-17,2.85016,2.92664,2.8285,2.92664,190327464
2004-09-20,2.91319,3.02902,2.90871,2.97322,213559378
2004-09-21,2.98444,2.99963,2.92714,2.93536,145244624
2004-09-22,2.9244,2.98094,2.9097,2.94881,152326203
2004-09-23,2.96027,3.05468,2.91494,3.00959,171503471
2004-09-24,3.01258,3.09129,2.98319,2.98493,183314131
2004-09-27,2.9782,3.01109,2.93436,2.94582,141976821
2004-09-28,3.02155,3.17349,2.99439,3.16004,340148619
2004-09-29,3.15606,3.36331,3.14435,3.26516,613154719
2004-09-30,3.23577,3.29555,3.21335,3.2283,276434483
2004-10-01,3.25819,3.34388,3.21086,3.30253,303897680
2004-10-04,3.36903,3.40939,3.33864,3.3643,261661121
2004-10-05,3.35434,3.45075,3.29405,3.44675,300850674
2004-10-06,3.42633,3.44875,3.38772,3.41462,268867150
2004-10-07,3.41064,3.48437,3.40142,3.45872,283608395
2004-10-08,3.45547,3.47939,3.41313,3.43081,222415365
2004-10-11,3.41263,3.45896,3.33416,3.36928,210412009
