ticker,last_price,ma_200,price_to_ma200_pct,ma_50,daily_return_pct,volatility_20d,volume,avg_volume_20d,52w_high,52w_low,data_points,last_date
ODFL,137.69,159.63,-13.75,141.96,-2.6,2.66,2000493,2175954,231.78,133.69,249,2025-11-06
ADBE,327.35,382.19,-14.35,349.18,-2.39,10.27,3878635,3706551,557.9,324.55,249,2025-11-06
AXON,587.14,686.51,-14.48,725.8,-16.85,42.03,1889155,648492,885.92,462.81,249,2025-11-06
ADP,252.36,298.5,-15.46,286.42,-2.65,11.69,2869674,1978003,326.59,249.68,249,2025-11-06
FTNT,80.54,95.57,-15.73,82.95,-5.49,1.52,13347964,4912778,114.82,70.12,249,2025-11-06
KDP,26.36,31.45,-16.19,27.01,-0.38,0.89,12914506,20384630,35.62,25.03,249,2025-11-06
CDW,141.56,169.81,-16.64,159.08,-0.07,5.59,1651160,1509523,220.59,136.33,249,2025-11-06
CSGP,67.36,80.84,-16.67,81.39,-3.48,3.58,4609558,4129502,97.43,63.82,249,2025-11-06
TMUS,201.01,241.87,-16.89,232.25,-2.56,9.42,5809892,5339169,274.51,199.41,249,2025-11-06
CMCSA,27.31,33.31,-18.01,30.84,-0.47,1.0,32626217,29024120,43.36,25.75,249,2025-11-06
ROP,444.48,545.29,-18.49,499.12,-1.07,29.16,991146,1154562,592.47,435.42,249,2025-11-06
PAYX,112.82,141.6,-20.33,128.02,-2.01,5.09,4999862,2919868,160.03,112.07,249,2025-11-06
SNPS,396.14,500.15,-20.8,483.4,-4.85,18.27,4044067,2318128,651.73,365.74,249,2025-11-06
TRI,138.97,177.78,-21.83,161.58,-5.2,6.33,1916826,1273046,217.67,138.29,249,2025-11-06
CPRT,39.98,51.65,-22.6,45.53,-6.7,1.26,16847138,6329961,64.38,39.58,249,2025-11-06
VRSK,212.87,281.52,-24.39,245.26,-3.24,11.2,1266614,1698975,321.9,197.0,249,2025-11-06
TEAM,156.13,207.17,-24.64,163.82,-5.38,8.48,2584440,3379612,326.0,144.32,249,2025-11-06
DXCM,58.02,77.88,-25.5,69.98,-5.17,4.04,8981999,6723689,93.25,56.45,249,2025-11-06
TTD,45.9,66.66,-31.14,50.15,-2.84,2.29,16638028,9722596,141.53,42.96,249,2025-11-06
MSTR,237.2,344.65,-31.18,313.59,-3.96,21.69,14319397,11611214,543.0,231.51,249,2025-11-06
CHTR,217.86,334.72,-34.91,258.97,-1.38,14.64,1825599,2151444,437.06,214.83,249,2025-11-06
LULU,163.55,258.93,-36.84,174.94,1.8,6.32,3010987,4109344,423.32,159.25,249,2025-11-06
