ticker,latest_close,ma200,ma200_date
ADBE,335.3500061035156,382.7354495239258,2025-11-04
ABNB,122.3499984741211,129.11095043182374,2025-11-04
TEAM,165.0,207.66640060424805,2025-11-04
ADP,259.2200012207031,301.0389506530762,2025-11-04
BKNG,4991.759765625,5188.514191894531,2025-11-04
CDW,141.66000366210938,170.87029991149902,2025-11-04
CHTR,220.91000366210938,335.38154876708984,2025-11-04
CTAS,184.11000061035156,208.2511498260498,2025-11-04
CCEP,86.95999908447266,88.92859954833985,2025-11-04
CTSH,72.80999755859375,75.65565013885498,2025-11-04
CMCSA,27.440000534057617,33.927900037765504,2025-11-04
CPRT,42.849998474121094,51.73820007324219,2025-11-04
CSGP,69.79000091552734,80.87180011749268,2025-11-04
COST,940.739990234375,972.6277487182617,2025-11-04
DXCM,61.18000030517578,78.02250005722046,2025-11-04
FANG,139.4199981689453,145.18579975128173,2025-11-04
FAST,41.29999923706055,42.4097501373291,2025-11-04
FTNT,85.22000122070312,95.6514500427246,2025-11-04
GEHC,74.30000305175781,76.05019996643067,2025-11-04
GFS,34.41999816894531,36.851600074768065,2025-11-04
HON,196.4600067138672,203.46812438964844,2025-11-04
INTU,660.4199829101562,669.7422003173829,2025-11-04
KDP,26.459999084472656,31.903700037002565,2025-11-04
KHC,24.170000076293945,27.81549997329712,2025-11-04
LIN,417.94000244140625,461.02894989013674,2025-11-04
LULU,160.66000366210938,259.97779960632323,2025-11-04
META,627.3200073242188,678.7465002441406,2025-11-04
MCHP,59.5,60.363049793243405,2025-11-04
MSTR,246.99000549316406,345.41155029296874,2025-11-04
MDLZ,56.08000183105469,64.23800003051758,2025-11-04
NFLX,1092.9599609375,1124.2396981811523,2025-11-04
NXPI,204.4199981689453,212.12220016479492,2025-11-04
ORLY,93.83000183105469,94.58955688476563,2025-11-04
ODFL,141.36000061035156,160.31454978942872,2025-11-04
ON,48.279998779296875,48.554400005340575,2025-11-04
PCAR,96.91999816894531,98.07024990081787,2025-11-04
PAYX,115.13999938964844,142.91330001831054,2025-11-04
PYPL,66.08000183105469,71.04855026245117,2025-11-04
ROP,449.30999755859375,547.2054528808594,2025-11-04
SBUX,79.5999984741211,91.80610004425048,2025-11-04
SNPS,416.3500061035156,500.8134004211426,2025-11-04
TMUS,206.2899932861328,243.1333000946045,2025-11-04
TXN,159.36000061035156,184.84185073852538,2025-11-04
TRI,146.60000610351562,178.63769989013673,2025-11-04
TTD,47.2400016784668,67.0497500038147,2025-11-04
VRSK,220.0,282.55534957885743,2025-11-04
VRTX,421.6700134277344,445.69869903564455,2025-11-04
WDAY,233.47000122070312,241.8945002746582,2025-11-04
