ticker,latest_close,ma200,ma200_date
BA,197.75,200.2694995880127,2025-11-05
KO,68.66000366210938,69.27420000076295,2025-11-05
HON,196.1199951171875,203.46888938903808,2025-11-05
MCD,299.55999755859375,304.6514495849609,2025-11-05
MRK,84.02999877929688,84.27914993286133,2025-11-05
NKE,61.279998779296875,69.11390005111694,2025-11-05
PG,146.8699951171875,160.7180499267578,2025-11-05
CRM,254.6999969482422,269.9905490112305,2025-11-05
SHW,342.20001220703125,349.1113995361328,2025-11-05
UNH,326.29998779296875,383.6685498046875,2025-11-05
VZ,39.33000183105469,42.674700050354005,2025-11-05
V,340.1300048828125,345.9786503601074,2025-11-05
