Date,open,high,low,close,volume,dividends,stock splits
2024-11-07 00:00:00-05:00,667.7293548789404,673.405160014563,663.470067615173,670.800048828125,1758300,0.0,0.0
2024-11-08 00:00:00-05:00,663.6582521591642,664.8865055198205,655.6250302137099,663.1332397460938,1726800,0.0,0.0
2024-11-11 00:00:00-05:00,665.411478248547,665.6293668510183,655.674505753815,664.955810546875,1520100,0.0,0.0
2024-11-12 00:00:00-05:00,666.2733415041034,670.1363909445469,656.5561975472017,662.8460693359375,1711000,0.0,0.0
2024-11-13 00:00:00-05:00,658.329171406742,667.3034134240086,650.5634131685574,667.0359497070312,2453700,0.0,0.0
2024-11-14 00:00:00-05:00,699.0005121675175,705.2606986576864,684.9844825908489,686.4009399414062,3925300,0.0,0.0
2024-11-15 00:00:00-05:00,671.939104299844,673.4447363895921,651.2963950166852,652.3958740234375,3063200,0.0,0.0
2024-11-18 00:00:00-05:00,644.907405487118,662.5289952458578,641.8664568394829,658.933349609375,2010600,0.0,0.0
2024-11-19 00:00:00-05:00,656.5462428384755,665.0549023887572,647.2847067560583,655.8924560546875,1640700,0.0,0.0
2024-11-20 00:00:00-05:00,650.3157742546381,652.2472685496588,639.3406328734385,652.19775390625,1677800,0.0,0.0
2024-11-21 00:00:00-05:00,647.7303875360856,666.6892348410809,642.8768041294326,665.7977294921875,2859000,0.0,0.0
2024-11-22 00:00:00-05:00,661.4790531802449,668.4127960027998,659.9139914436423,666.510986328125,1275600,0.0,0.0
2024-11-25 00:00:00-05:00,678.516223312333,680.2100592987093,671.5824808843237,677.9912109375,1511300,0.0,0.0
2024-11-26 00:00:00-05:00,673.1574879675626,675.3960455540783,660.5182558116492,665.6095581054688,1424100,0.0,0.0
2024-11-27 00:00:00-05:00,663.4205110485021,666.3227703801922,653.3665599529619,664.1336669921875,1231800,0.0,0.0
2024-11-29 00:00:00-05:00,672.4442939644626,693.0276342646712,672.1174005819706,680.1110229492188,1706500,0.0,0.0
2024-12-02 00:00:00-05:00,675.2970545154882,706.9248212989957,674.2570051368758,704.7357177734375,2325900,0.0,0.0
2024-12-03 00:00:00-05:00,695.9991933667063,714.502373303662,693.9883790152601,711.2633056640625,1647200,0.0,0.0
